"","Koog ad Zaan","Zaangemaal 1","Zaangemaal 2","Zaangemaal 3","Noordzeekanaal","Grote sluis NZK","Middensluis NZK","Kleine sluis NZK","Grote sluis Noordzee","Spuisluis Noordzee","Willem 2 sluis 2","Oranjesluis","ARK Noord","Kleine sluis Noordzee","bpns-Kilmore","Overtoom 1","Spuisluis NZK","Middensluis Noordzee","Kadoelen 5","Kadoelen 2","Kadoelen 3","Kadoelen 4","Kadoelen 1","De Poel","bpns-WK14","bpns-Whitley","Overtoom 3","Overtoom 2","bpns-O6","Spaarne gemaal","Spaarne sluis","Spaarndam","Cruquius","Zijkanaal C kom","Halfweg boezemzijde","Halfweg NZKzijde","Boezem Spaarne","Zwanenburg","bpns-WENDUINEBANKW","PC4C-C05-2","Katwijk 2","Katwijk 1","Katwijk 3","ws-W6","ws-W7","bpns-Trapegeer","bpns-W1","Vinkeveen gemaal","Vinkeveen sluis","ARK Zuid","Berlagerbrug","Loosdrecht2a sluis","Loosdracht 2b gemaal","Loosdrecht 1","Loosdrecht 3","Muiden","ws-DL12","ws-OGDL","ws-TRAWL","Lelystad","Enkhuizen","bpns-nieuwpoortbank","bpns-WK12","ws-STEEN","rel_noordzeekanaal10","rel_noordzeekanaal11","rel_noordzeekanaal5","rel_noordzeekanaal6","rel_noordzeekanaal12","rel_noordzeekanaal13","rel_noordzeekanaal2","rel_noordzeekanaal3","rel_noordzeekanaal7","rel_noordzeekanaal1","rel_noordzeekanaal8","rel_noordzeekanaal14","rel_noordzeekanaal15","rel_noordzeekanaal9","rel_noordzeekanaal4","rel_noordzeekanaal16","rel_noordzeekanaal17"
"Katwijk 3",61197.3214655785,58324.856852989,58224.8681447649,57983.4744053187,39907.4080706626,38631.8236841376,37749.0843933898,37107.7383385818,37690.5130151774,37456.2275023287,62459.9083372972,65800.9359194701,68329.0754543121,36666.3686932076,170977.757625141,51862.8662167335,38397.5381712888,37049.1669603694,63825.4325894025,62994.1604783267,62818.4433226471,63201.2410863014,61770.0357188655,73781.1286551596,130213.767422645,171805.89047204,52062.8436331818,51921.4386019601,154152.104093541,48790.4463420106,48383.3873105728,48366.2312483439,58214.854044115,48066.2651236708,54676.7649896894,54193.9775107964,48449.0638943396,58214.8354143494,150370.898111492,137172.388415866,1731.16947808072,2255.37277646456,0,120348.518493308,121289.833190324,177540.749707274,126512.976350099,84346.8496180276,84246.8609098035,89690.6050719254,66615.0711015889,83956.9355716627,84056.9242798869,85505.2867165664,82508.5721279691,76794.9922568843,116415.855616343,116947.163616774,118604.346465344,103926.85225522,109311.58322422,174215.647164769,125500.759111977,122421.0734401,84115.5077422697,84288.2772328014,53711.1829828034,50166.0279963833,84946.7707902181,83715.5418322159,63983.9941863611,62252.8231977586,56366.5176412654,43362.6393037335,2189.69367516177,62121.4801003678,59731.802966671,1948.30043922259,62794.1830618779,76953.5498257858,99703.1452996501
"ws-W6",175639.418590844,172766.953978255,172666.965270031,172425.571530585,154349.505195929,153073.920809403,152191.181518656,151549.835463848,152132.610140443,151898.324627595,176902.005462563,180243.033044736,182771.172579578,151108.465818474,67627.5650042751,166304.963341999,152839.635296555,151491.264085635,178267.529714668,177436.257603593,177260.540447913,177643.338211567,176212.132844131,188223.225780425,15617.7735116666,67635.6915070993,166504.940758448,166363.535727226,45413.298354494,163232.543467277,162825.484435839,162808.32837361,172656.951169381,162508.362248937,169118.862114955,168636.074636062,162891.161019606,172656.932539615,46083.5553831119,56767.1176787758,118617.349015227,118093.145716843,120348.518493308,0,941.314697016776,74190.557086403,11682.6949122426,198788.946743294,198688.958035069,204132.702197191,181057.168226855,198399.032696929,198499.021405153,199947.383841832,196950.669253235,191237.08938215,6666.14019481952,6797.49336235426,2655.33113391246,218368.949380486,223753.680349486,70865.4545438985,26043.7481825791,2072.55494679395,198557.604867536,198730.374358067,168153.280108069,164608.125121649,199388.867915484,198157.638957482,178426.091311627,176694.920323025,170808.614766531,157804.736429,118900.159581178,176563.577225634,174173.900091937,118658.766345239,177236.280187144,191395.646951052,214145.242424916
"ws-W7",176580.733287861,173708.268675272,173608.279967048,173366.886227601,155290.819892945,154015.23550642,153132.496215673,152491.150160864,153073.92483746,152839.639324611,177843.32015958,181184.347741753,183712.487276595,152049.78051549,67354.8017704476,167246.278039016,153780.949993571,152432.578782652,179208.844411685,178377.572300609,178201.85514493,178584.652908584,177153.447541148,189164.540477442,15345.0102778389,67362.9282732718,167446.255455465,167304.850424243,45140.5351206664,164173.858164293,163766.799132856,163749.643070627,173598.265866398,163449.676945954,170060.176811972,169577.389333079,163832.475716622,173598.247236632,45810.7921492844,57239.8573220378,119558.663712244,119034.46041386,121289.833190324,941.314697016776,0,73917.7938525754,11409.931678415,199730.26144031,199630.272732086,205074.016894208,181998.482923871,199340.347393945,199440.33610217,200888.698538849,197891.983950252,192178.404079167,7524.62224584031,7655.97541337504,3513.81318493325,219310.264077503,224694.995046502,70592.691310071,26516.487825841,1131.24024977745,199498.919564552,199671.689055084,169094.594805086,165549.439818666,200330.182612501,199098.953654499,179367.406008644,177636.235020041,171749.929463548,158746.051126016,119841.474278195,177504.89192265,175115.214788954,119600.081042255,178177.594884161,192336.961648068,215086.557121933
"bpns-Trapegeer",230723.062062915,227850.597450326,227750.608742102,227509.215002655,209433.148667999,208157.564281474,207274.824990726,206633.478935918,207216.253612514,206981.968099665,231985.648934634,235326.676516807,237854.816051649,206192.109290544,30550.4419316068,221388.60681407,207923.278768625,206574.907557706,233351.173186739,232519.901075663,232344.183919984,232726.981683638,231295.776316202,243306.869252496,58572.7835747365,6554.86557930377,221588.584230518,221447.179199297,28777.2587319088,218316.186939347,217909.127907909,217891.971845681,227740.594641452,217592.005721007,224202.505587026,223719.718108133,217974.804491676,227740.576011686,28107.0017032909,65261.4110221154,175809.580229193,175285.376930809,177540.749707274,74190.557086403,73917.7938525754,0,62507.8621741603,253872.590215364,253772.60150714,259216.345669261,236140.811698925,253482.676168999,253582.664877223,255031.027313902,252034.312725305,246320.73285422,79685.2596468362,80402.331631564,76201.5975214029,273452.592852555,278837.323821555,4027.96512313615,52039.9905952974,74386.364878273,253641.248339606,253814.017830137,223236.923580139,219691.768593719,254472.511387554,253241.282429552,233509.734783697,231778.563795095,225892.258238601,212888.37990107,176092.390795144,231647.220697704,229257.543564007,175850.997559204,232319.923659214,246479.290423122,269228.885896986
"bpns-W1",181803.876447636,178931.411835046,178831.423126822,178590.029387376,160513.96305272,159238.378666195,158355.639375447,157714.293320639,158297.067997234,158062.782484386,183066.463319354,186407.490901527,188935.630436369,157272.923675265,56441.872010093,172469.421198791,159004.093153346,157655.721942426,184431.987571459,183600.715460384,183424.998304704,183807.796068358,182376.590700922,194387.683637216,3935.07859942393,55952.9965948567,172669.398615239,172527.993584017,33730.6034422513,169397.001324068,168989.94229263,168972.786230401,178821.409026172,168672.820105728,175283.319971746,174800.532492853,169055.618876397,178821.390396406,34400.8604708693,47652.2660098435,124781.806872018,124257.603573634,126512.976350099,11682.6949122426,11409.931678415,62507.8621741603,0,204953.404600085,204853.41589186,210297.160053982,187221.626083646,204563.49055372,204663.479261944,206111.841698623,203115.127110026,197401.547238941,17177.3974726759,17894.4694574038,13693.7353472427,224533.407237277,229918.138206277,59182.7596316559,16928.8965136462,11878.5027041127,204722.062724327,204894.832214858,174317.73796486,170772.58297844,205553.325772275,204322.096814273,184590.549168418,182859.378179816,176973.072623322,163969.194285791,125064.617437969,182728.035082425,180338.357948728,124823.22420203,183400.738043935,197560.104807843,220309.700281707
"Vinkeveen gemaal",33970.8331255885,31098.368512999,30998.3798047749,30756.9860653287,44439.4415473651,46046.3605459311,46763.4325306584,47321.9449324568,46904.8375618803,47470.457686769,22535.3930446002,23559.5343455278,22211.1545749863,47680.48092482,240222.400445194,32849.6281237634,46611.9806708199,47463.3499636788,26256.2878445231,26790.5435101021,26614.8263544226,26797.6477086427,25566.4187506409,36236.2456815705,208654.195672631,250246.318722026,33049.6055402117,32991.0331549851,232592.532343527,41349.8540297486,40825.6512348717,40925.6389360819,50677.2136396765,40801.3884565668,37214.814629613,36732.02715072,41125.6153455163,39791.4792175584,228811.326361477,206417.031235919,82615.6801399469,82150.0487232824,84346.8496180276,198788.946743294,199730.26144031,253872.590215364,204953.404600085,0,99.9887082241475,43572.6841925998,17731.7785164393,37839.014692337,37939.0034005611,39387.3658372407,36390.6512486433,34495.0188012226,194856.283866329,195387.59186676,197044.77471533,63390.6472840601,71766.7002506308,249844.625092229,202828.321609296,200861.501690086,841.322464242282,141.405031222006,34697.9448898331,42608.2919206821,38828.8499108924,37597.6209528901,25873.4890738543,26049.2062295339,38904.5672811888,40984.2103142943,83015.6344693365,34894.9917603776,32505.3146266808,82774.2412333973,26590.5660936531,36643.3021954727,62158.2623260613
"Vinkeveen sluis",33870.8444173643,30998.3798047749,30898.3910965507,30656.9973571046,44339.4528391409,45946.371837707,46663.4438224342,47221.9562242327,46804.8488536562,47370.4689785449,22435.4043363761,23459.5456373036,22111.1658667622,47580.4922165959,240122.41173697,32749.6394155392,46511.9919625958,47363.3612554546,26156.2991362989,26690.5548018779,26514.8376461984,26697.6590004185,25466.4300424168,36136.2569733463,208554.206964407,250146.330013802,32949.6168319875,32891.044446761,232492.543635303,41249.8653215245,40725.6625266475,40825.6502278578,50577.2249314524,40701.3997483426,37114.8259213888,36632.0384424959,41025.6266372921,39691.4905093343,228711.337653253,206317.042527695,82515.6914317228,82050.0600150582,84246.8609098035,198688.958035069,199630.272732086,253772.60150714,204853.41589186,99.9887082241475,0,43472.6954843756,17631.7898082152,37739.0259841128,37839.014692337,39287.3771290166,36290.6625404192,34395.0300929985,194756.295158105,195287.603158536,196944.786007106,63290.6585758359,71666.7115424066,249744.636384004,202728.332901072,200761.512981862,882.739290747117,99.9882047171704,34597.9561816089,42508.303212458,38728.8612026683,37497.632244666,25773.5003656301,25949.2175213097,38804.5785729647,40884.2216060701,82915.6457611124,34795.0030521534,32405.3259184567,82674.2525251732,26490.577385429,36543.3134872486,62058.2736178371
"ARK Zuid",39314.5885794864,36442.1239668969,36342.1352586727,36100.7415192266,49783.1970012629,51390.115999829,52107.1879845562,52665.7003863546,52248.5930157781,52814.2131406668,27313.5303876379,24558.2206156447,21361.5296176134,53024.2363787179,245566.155899092,38193.3835776612,51955.7361247177,52807.1054175766,29151.804856656,30417.3439250869,29993.1288314203,29693.1647207756,30910.1742045388,39131.7626937034,213997.951126529,255590.074175924,38393.3609941095,38334.7886088829,237936.287797425,46693.6094836464,46169.4066887695,46269.3943899798,56020.9690935743,46145.1439104646,42558.5700835108,42075.7826046178,46469.3707994141,45252.3784348949,234155.081815375,211760.786689816,87959.4355938447,87493.8041771801,89690.6050719254,204132.702197191,205074.016894208,259216.345669261,210297.160053982,43572.6841925998,43472.6954843756,0,25840.9056761604,14540.9858697479,14640.9745779721,16089.3370146517,13092.6224260543,35493.7050713395,200200.039320227,200731.347320658,202388.530169227,64389.333554177,73346.9493080549,255188.380546126,208172.077063194,206205.257143984,43341.3423168418,43514.1118073735,40041.7003437309,47952.04737458,15530.8210883034,14299.5921303011,28769.0060859872,30558.7489563089,44248.3227350867,46327.9657681921,88359.3899232343,40238.7472142754,37849.0700805786,88117.9966872951,30334.5102720766,37641.9884655896,63738.5113834853
"Berlagerbrug",16239.0546091494,13366.58999656,13266.6012883358,13025.2075488897,26707.663030926,28314.5820294921,29031.6540142193,29590.1664160178,29173.0590454413,29738.67917033,4803.61452816122,5827.75582908848,4479.37605854702,29948.702408381,222490.621928756,15117.8496073243,28880.2021543809,29731.5714472398,8524.50932808403,9058.76499366306,8883.04783798353,9065.86919220364,7834.64023420188,18504.4671651314,190922.417156192,232514.540205587,15317.8270237726,15259.2546385461,214860.753827088,23618.0755133096,23093.8727184326,23193.8604196429,32945.4351232374,23069.6099401277,19483.0361131739,19000.2486342809,23393.8368290772,22059.7007011194,211079.547845038,188685.25271948,64883.9016235081,64418.2702068436,66615.0711015889,181057.168226855,181998.482923871,236140.811698925,187221.626083646,17731.7785164393,17631.7898082152,25840.9056761604,0,20107.2361758976,20207.2248841218,21655.5873208014,18658.872732204,16763.2402847833,177124.50534989,177655.813350321,179312.99619889,45658.8687676207,54034.9217341917,232112.846575789,185096.543092857,183129.723173647,17500.4366406813,17673.206131213,16966.166373394,24876.513404243,21097.0713944531,19865.8424364508,8141.71055741521,8317.42771309485,21172.7887647497,23252.4317978552,65283.8559528975,17163.2132439385,14773.5361102418,65042.4627169584,8858.7875772141,18911.5236790334,44426.4838096221
"Loosdrecht2a sluis",33580.9190792235,30708.4544666341,30608.4657584099,30367.0720189638,44049.5275010001,45656.4464995662,46373.5184842934,46932.0308860919,46514.9235155154,47080.5436404041,21579.8608873751,18824.5511153819,15627.8601173506,47290.5668784551,239832.486398829,32459.7140773984,46222.066624455,47073.4359173138,23418.1353563932,24683.6744248241,24259.4593311575,23959.4952205128,25176.504704276,33398.0931934406,208264.281626266,249856.404675661,32659.6914938467,32601.1191086202,232202.618297162,40959.9399833837,40435.7371885067,40535.724889717,50287.2995933116,40411.4744102018,36824.900583248,36342.1131043551,40735.7012991513,39518.7089346321,228421.412315112,206027.117189554,82225.766093582,81760.1346769174,83956.9355716627,198399.032696929,199340.347393945,253482.676168999,204563.49055372,37839.014692337,37739.0259841128,14540.9858697479,20107.2361758976,0,99.9887082241475,1889.73208205285,1565.50720713222,29760.0355710767,194466.369819964,194997.677820395,196654.860668965,58655.6640539142,67613.2798077921,249454.711045863,202438.407562931,200471.587643721,37607.672816579,37780.4423071107,34308.0308434681,42218.3778743172,989.835218555442,241.393739446812,23035.3365857244,24825.0794560461,38514.6532348239,40594.2962679293,82625.7204229715,34505.0777140126,32115.4005803158,82384.3271870324,24600.8407718138,31908.3189653268,58004.8418832225
"Loosdracht 2b gemaal",33680.9077874477,30808.4431748582,30708.4544666341,30467.0607271879,44149.5162092243,45756.4352077903,46473.5071925176,47032.019594316,46614.9122237395,47180.5323486282,21679.8495955993,18924.5398236061,15727.8488255747,47390.5555866792,239932.475107054,32559.7027856226,46322.0553326791,47173.424625538,23518.1240646174,24783.6631330483,24359.4480393816,24059.483928737,25276.4934125001,33498.0819016648,208364.27033449,249956.393383885,32759.6802020709,32701.1078168443,232302.607005386,41059.9286916078,40535.7258967309,40635.7135979411,50387.2883015357,40511.463118426,36924.8892914722,36442.1018125792,40835.6900073755,39618.6976428562,228521.401023336,206127.105897778,82325.7548018061,81860.1233851416,84056.9242798869,198499.021405153,199440.33610217,253582.664877223,204663.479261944,37939.0034005611,37839.014692337,14640.9745779721,20207.2248841218,99.9887082241475,0,1848.31525554802,1665.49591535636,29860.0242793009,194566.358528188,195097.666528619,196754.849377189,58755.6527621383,67713.2685160163,249554.699754088,202538.396271155,200571.576351945,37707.6615248031,37880.4310153348,34408.0195516923,42318.3665825413,948.418392050606,341.38244767096,23135.3252939486,24925.0681642703,38614.641943048,40694.2849761535,82725.7091311957,34605.0664222368,32215.38928854,82484.3158952565,24700.8294800379,32008.307673551,58104.8305914467
"Loosdrecht 1",35129.2702241273,32256.8056115378,32156.8169033137,31915.4231638675,45597.8786459039,47204.7976444699,47921.8696291972,48480.3820309956,48063.2746604191,48628.8947853078,23128.2120322789,20372.9022602857,17176.2112622543,48838.9180233588,241380.837543733,34008.0652223022,47770.4177693587,48621.7870622176,24966.486501297,26232.0255697279,25807.8104760612,25507.8463654166,26724.8558491797,34946.4443383444,209812.63277117,251404.755820565,34208.0426387505,34149.4702535239,233750.969442066,42508.2911282874,41984.0883334105,42084.0760346207,51835.6507382153,41959.8255551056,38373.2517281518,37890.4642492588,42284.0524440551,41067.0600795359,229969.763460016,207575.468334458,83774.1172384857,83308.4858218212,85505.2867165664,199947.383841832,200888.698538849,255031.027313902,206111.841698623,39387.3658372407,39287.3771290166,16089.3370146517,21655.5873208014,1889.73208205285,1848.31525554802,0,3113.85835203597,31308.3867159805,196014.720964867,196546.028965299,198203.211813868,60204.0151988179,69161.6309526959,251003.062190767,203986.758707834,202019.938788625,39156.0239614827,39328.7934520144,35856.3819883719,43766.7290192209,2796.73364759862,1872.57753034601,24583.6877306282,26373.4306009499,40063.0043797276,42142.6474128331,84174.0715678753,36053.4288589164,33663.7517252196,83932.6783319361,26149.1919167176,33456.6701102306,59553.1930281263
