"","LE-STELO-SLUIS SA","LE-STELO-SLUIS SO","LE-OLSENE","LE-DEINZE","LE-AST","LE-STELO-VISTRAP-SA","LE-STELO-VISTRAP-SA1ETURN","LE-STELO-STUW -SA","LE-OOIGEM","LE-HARELB-SLUIS-SA","LE-HARELB-STUW-SA","LE-HARELB-VISTRAP-MID","AKL-NEVELE","KGO-MERENDREE","KGO-AALTER","RV-EVERG-WESTERVAK","RV-EVERG-SLUIS-SA","LE-MANDEL","LE-STMARTLATEM","LE-BAARLE","LE-DRONGEN","BRUGSEV-MARIAKERKE","ZS-MERELB-STUWGEUL","ZS-MERELB-TIJARM-SA","ZS-MERELB-STUWGEUL-SASTUW","RV-MERELB-STUWGEUL-SOSTUW","RV-MERELB-SLUIS-SO","BS-ZWIJNA-KANZWIJNA","BS-SEM","s-Wetteren","s-2a","s-Schoonaarde","s-wichelen","s-3","BS-ASP-NSTUW-SA","BS-ASP-SLUIS-SA","BS-ASP-SLUIS-SO","s-Dendermonde2","s-4a","s-4b","s-4c","s-5","s-6","s-8","s-9a","s-9","s-8a","ZS-MERELB-TIJARM-SO","BS-ASP-OSTUW-SA","s-7","s-10a","s-12","ws-53A","me-7-2b","ru-1","bn-Walem","bn-1","bn-2","gn-1","gn-2","BS-ZINGEM","BS-HEURNE","BS-OUD-NSTUW-SA","BS-OUD-VISTRAP-SA","BS-OUD-VISTRAP-MID","BS-OUD-NSTUW-SO","BS-OUD-SLUIS-SO","BS-MELDEN","BS-WORTEGEM","BS-KERKH-SLUIS-SA","BS-KERKH-OSTUW-SA","BS-KERKH-VISTRAP-SA","BS-KERKH-VISTRAP-MID","BS-KERKH-VISTRAP-SO","BS-KERKH-NSTUW-SO","BS-KERKH-SLUIS-SO","BS-AVELG","BS-ASP-NSTUW-SO","BS-OUD-VISTRAP-SO","BS-OUD-SLUIS-SA","RV-ZWIJNA","ZS-MELLE","S-MERELB-SOJACHTH","BS-RONNEBEEK","3D4","BS-KERKH-NSTUW-SA","BS-ASP-OSTUW-SO","RV-GENT-MONDTOERLEIE","RV-GENT-MONDOUDELEIE","LE-SNEPKAAI","BS-KERKH-OSTUW-SO","rt-mer-300m","rt-mer-600m","rt-mer-900m","rt-mer-1200m","bs-as-rt-300m","bs-as-rt-600m","bs-as-rt-900m","bs-as-rt-1200m","ws-VH8","bpns-O6","BS-OUD-OSTUW-SA","LE-HARELB-VISTRAP-SA","LE-HARELB-STUW-SO","LE-KORTRIJK","LE-WEVELG","LE-MENEN-STUW-SA","LE-MENEN-STUW-SO","LE-WERVIK","BS-ZWALM","3D5","3D2","3D3","BS-OUD-OSTUW-SO","3D1","du-Hamveer","KGO-BEERNEM-SLUIS","KGO-BRUGGE-TEN BRIELE","bpns-W1","rel_merelbeke","rel_spiere","rel_rone","rel_asper","rel_harbour_kerkhove","rel_fish_pass_leie","rel_oudenaarde","rel_weir1_kerkhove","rel_mandel","rel_zwalm","rel_weir2_kerkhove","rel_oude_mandel","rel_rijtgracht","rel_mouth_rijtgracht","rel_harelbeke","rel_sb5","rel_weir_sb5","rel_ronne","rel_douvebeek"
"3D1",63308.0358391686,64285.7863330643,59134.9268344132,53068.4427371471,48223.1888041925,64002.9622850379,64044.3810935478,64023.6716892929,69231.0349713338,74486.9094442392,74931.8534307215,75031.8461496206,51675.8841063874,44544.4146606541,53479.3454219196,37530.6697173804,39170.5080481282,63337.3237875722,44584.9633863039,39253.3526176054,35353.0168598465,36982.7914778619,26857.4142634899,25903.9271451566,26678.1362435304,26581.6945163133,26440.2829889045,24788.3154533971,20089.510863466,35520.1779246092,45826.3262731883,50185.2150936648,41044.677775919,55666.8089814653,11235.3575243007,11093.9459968918,10952.5344694823,61319.1122771561,70171.7986565486,73506.4869803937,75825.5606352799,78410.3019120349,83166.2141147239,92846.0643706128,98169.9421788968,97983.5575406022,92521.8225072857,23696.9730964467,11093.9459968918,85002.4865605172,105348.477044161,118342.910049008,142596.985142153,93547.4879772732,96925.6821211634,104334.976203351,109049.475556777,113322.580922195,117386.514834538,117840.037034098,5362.3633593885,1244.88573767488,191.408217928412,49.9966905188048,170.69914474253,191.407886858405,141.411527408866,4738.75710080815,6978.55472457453,12101.6041598832,12122.3132330684,12180.888467735,12110.1827040303,12251.5942314397,12363.7181415157,12263.724760478,15966.1574570025,10823.2534711117,120.702123153601,49.9963594498113,26940.2485698165,31009.2169870799,26302.4234463868,16116.1465353507,49.9966905188048,12060.1860135113,10952.5344694823,31164.8295015962,33204.6337419005,31123.4103620169,12263.724760478,23505.5652095883,23805.5433662853,24126.2309272373,24405.4996796803,11921.705757092,12333.8084860037,12625.2090917607,12966.6060569686,156273.98574084,100670.699096653,49.9963594498113,74931.8534307215,75123.2613175799,80241.2848557704,86005.7120615385,93869.9986137519,94011.4101411615,101594.954690844,Inf,70.7057637047213,70.7057637047213,0,141.411527408866,0,82832.7849118411,66030.3232506312,74124.4797348872,133306.539195909,26698.8456477857,24610.2851515599,16369.6826349751,11476.7624327479,11627.3728871365,75031.8461496203,49.9966905188048,12172.3099235873,63095.9188791243,6536.54829939854,12151.6008504021,56039.5593871043,12110.1827040303,11939.4835592877,74931.8534307212,62726.7035738414,64123.6650703305,16036.8632207073,106721.558097458
"du-Hamveer",94732.945944095,95710.6964379906,90559.8369393395,84493.3528420736,79648.0989091191,95427.8723899643,95469.2911984742,95448.5817942192,100655.94507626,105911.819549165,106356.763535648,106456.756254547,83100.7942113141,75969.3247655807,84904.255526846,68955.5798223072,70595.4181530549,94762.2338924985,76009.8734912305,70678.2627225321,66777.9269647733,67912.7589193716,55975.3706483516,57028.8504855842,56266.7722473169,56558.1738462829,56699.5853736918,58261.6113223991,62801.8486209032,47312.6069872322,37065.0332111807,32647.5698181766,41788.1071359224,27195.2632166399,71597.4273875407,71738.8389149495,71880.2504423591,21513.6726346853,12702.4044016632,9596.99078829671,7131.48070209108,4588.15823384625,7278.53552982825,16958.3857857173,22282.2635940013,22095.8789557067,16634.1439223903,59177.2306239047,71738.8389149495,9114.80797562153,29460.7984592658,42455.2314641133,66709.3065572574,17659.8093923776,21038.003536268,28447.2976184554,33161.796971882,37434.9023373,41498.8362496432,41952.3584492033,77470.4215524527,81587.8991741663,82670.6639801766,82812.0755075862,82720.6603396264,83024.1927986995,82974.1964392497,87571.5420126487,89811.339636415,94934.3890717235,94955.0981449088,95013.6733795753,94942.9676158706,95084.37914328,95196.503053356,95096.5096723183,98798.9423688427,72009.5314407296,82912.0682264849,82782.7885523913,58365.1586747433,51823.5679247615,57232.3908878963,98948.931447191,82812.0755075862,94892.9709253517,71880.2504423591,62589.7396065229,64629.5438468273,62548.3204669437,95096.5096723183,59327.2197022531,59027.2415455561,58747.9727931141,58544.4343772168,70911.0791547494,70498.9764258377,70207.5758200806,69866.1788548728,96942.8274795559,132095.609201579,82782.7885523913,106356.763535648,106548.171422506,111666.194960697,117430.622166465,125294.908718678,125436.320246088,133019.86479577,Inf,82762.0791481364,82862.071867036,82832.7849118411,82974.1964392497,82832.7849118411,0,97455.2333555577,105549.389839814,119786.01958537,56216.7755567979,107443.0700634,99202.4675468155,71414.5970516205,94460.157798977,106456.756254547,82853.4943160961,95005.0948354278,94520.8289840508,76296.2366124427,94984.3857622426,87464.4694920309,94942.9676158708,94772.2684711282,106356.763535648,94151.6136787679,95548.575175257,98869.6481325477,138146.468202385
"KGO-BEERNEM-SLUIS",46436.9415208782,47414.6920147739,42263.8325161228,36173.0866986404,40947.6345368209,47131.8679667475,47173.2867752574,47152.5773710025,52359.9406530435,57615.8151259487,58060.7591124309,58160.75183133,28763.8151291683,21485.9085899772,12550.9778287118,28528.9408195148,30285.9289574561,46466.2294692818,44644.434527237,40481.3958566018,36581.060098843,30222.3271635338,41479.8627072065,41821.257354929,41188.4611082411,40897.0595092751,40755.6479818663,41242.0077972348,45999.3869596931,50142.6263683259,60448.7747169049,64807.6635373815,55667.1262196357,70289.257425182,54794.9657263306,54936.3772537394,55077.7887811489,75941.5607208726,84794.2471002651,88128.9354241102,90448.0090789964,93032.7503557514,97788.6625584404,107468.512814329,112792.390622613,112606.005984319,107144.270951002,42374.7689626946,54936.3772537394,99624.9350042336,119970.925487878,132965.358492725,120767.110437104,108169.93642099,111548.13056488,118957.424647067,123671.924000494,127945.029365912,132008.963278255,132462.485477815,60667.9598912427,64785.4375129563,65868.2023189667,66009.6138463763,65918.1986784165,66221.7311374896,66171.7347780398,70769.0803514387,73008.8779752051,78131.9274105136,78152.6364836989,78211.2117183654,78140.5059546607,78281.9174820701,78394.0413921461,78294.0480111084,81996.4807076328,55207.0697795195,66109.606565275,65980.3268911814,39090.0746808147,45631.6654307966,40493.5340002332,82146.469785981,66009.6138463763,78090.5092641418,55077.7887811489,34865.4937490351,32825.6895087311,35460.4274760048,78294.0480111084,42524.758041043,42224.779884346,41945.511131904,41624.8235709516,54108.6174935393,53696.5147646275,53405.1141588705,53063.7171936627,90243.6624902061,34640.3758460211,65980.3268911814,58060.7591124309,58252.1669992893,63370.1905374797,69134.6177432477,76998.9042954612,77140.3158228707,84723.8603725532,Inf,65959.6174869265,66059.6102058261,66030.3232506312,66171.7347780398,66030.3232506312,97455.2333555577,0,8094.15648425612,67276.2159452784,41238.45779876,90640.6084021901,82400.0058856055,54612.1353904107,77657.6961377671,58160.7518313302,66051.0326548863,78202.6331742179,46224.824560834,59493.7749512329,78181.9241010326,39168.465068814,78140.5059546608,77969.8068099183,58060.7591124311,45855.6092555511,47252.5707520403,82067.1864713377,89850.463779168
"KGO-BRUGGE-TEN BRIELE",54531.0980051343,55508.84849903,50357.9890003788,44267.2431828964,49041.791021077,55226.0244510036,55267.4432595135,55246.7338552586,60454.0971372996,65709.9716102048,66154.915596687,66254.9083155861,36857.9716134244,29580.0650742333,20645.1343129679,36623.0973037708,38380.0854417122,54560.3859535379,52738.5910114931,48575.5523408579,44675.2165830991,38316.4836477898,49574.0191914626,49915.4138391851,49282.6175924972,48991.2159935312,48849.8044661223,49336.1642814908,54093.5434439491,58236.7828525819,68542.931201161,72901.8200216375,63761.2827038918,78383.4139094379,62889.1222105866,63030.5337379955,63171.945265405,84035.7172051285,92888.403584521,96223.0919083661,98542.1655632523,101126.906840007,105882.819042696,115562.669298585,120886.547106869,120700.162468575,115238.427435258,50468.9254469506,63030.5337379955,107719.09148849,128065.081972134,136542.134868543,112702.241239113,116264.092905246,119642.287049136,127051.581131323,131766.08048475,136039.185850168,140103.119762511,140556.641962071,68762.1163754987,72879.5939972123,73962.3588032227,74103.7703306323,74012.3551626725,74315.8876217456,74265.8912622958,78863.2368356947,81103.034459461,86226.0838947696,86246.7929679548,86305.3682026213,86234.6624389167,86376.073966326,86488.197876402,86388.2044953643,90090.6371918888,63301.2262637756,74203.7630495309,74074.4833754374,47184.2311650708,53725.8219150527,48587.6904844893,90240.626270237,74103.7703306323,86184.6657483977,63171.945265405,42959.6502332912,40919.8459929871,43554.5839602608,86388.2044953643,50618.914525299,50318.936368602,50039.66761616,49718.9800552076,62202.7739777953,61790.6712488836,61499.2706431266,61157.8736779188,82178.7932922143,26575.5066480291,74074.4833754374,66154.915596687,66346.3234835454,71464.347021736,77228.774227504,85093.0607797175,85234.472307127,92818.0168568095,Inf,74053.7739711824,74153.7666900821,74124.4797348872,74265.8912622958,74124.4797348872,105549.389839814,8094.15648425612,0,59211.3467472864,49332.6142830161,98734.7648864465,90494.1623698619,62706.2918746668,85751.8526220234,66254.9083155863,74145.1891391426,86296.7896584742,54318.9810450901,67587.931435489,86276.0805852889,47262.6215530701,86234.6624389172,86063.9632941746,66154.9155966872,53949.7657398072,55346.7272362964,90161.342955594,97944.6202634243
"bpns-W1",113713.157466156,114690.907960052,109540.048461401,103449.302643918,108223.850482099,114408.083912025,114449.502720535,114428.79331628,119636.156598321,124892.031071227,125336.975057709,125436.967776608,96040.0310744463,88762.1245352553,79827.19377399,95805.1567647927,97562.1449027341,113742.44541456,111920.650472515,107757.61180188,103857.276044121,97498.5431088116,108756.078652484,109097.473300207,108464.677053519,108173.275454553,108031.863927144,108518.223742513,113275.602904971,117418.842313603,127724.990662182,132083.879482659,122943.342164913,137565.473370459,122071.181671608,122212.593199017,122354.004726427,134354.58589311,125543.317660088,122437.904046722,119972.393960516,117429.071492271,112714.5747874,102910.471416673,97503.7559913695,97895.1516335115,103151.87566298,109650.984907972,122212.593199017,110836.884195235,90442.3702711605,77330.7881212581,53490.8944918275,109359.154546586,112737.348690476,120146.642772664,124861.14212609,129134.247491508,133198.181403851,133651.703603411,127944.17583652,132061.653458234,133144.418264244,133285.829791654,133194.414623694,133497.947082767,133447.950723318,138045.296296717,140285.093920483,145408.143355792,145428.852428977,145487.427663644,145416.721899939,145558.133427349,145670.257337425,145570.263956387,149272.696652912,122483.285724797,133385.822510553,133256.542836459,106366.290626093,112907.881376074,107769.749945511,149422.68573126,133285.829791654,145366.72520942,122354.004726427,102141.709694313,100101.905454009,102736.643421283,145570.263956387,109800.973986321,109500.995829624,109221.727077182,108901.039516229,121384.833438817,120972.730709905,120681.330104148,120339.933138941,22967.4465449289,33682.2169599151,133256.542836459,125336.975057709,125528.382944567,130646.406482758,136410.833688526,144275.120240739,144416.531768148,152000.07631783,Inf,133235.833432204,133335.826151104,133306.539195909,133447.950723318,133306.539195909,119786.01958537,67276.2159452784,59211.3467472864,0,108514.67374404,157916.824347469,149676.221830885,121888.351335691,144933.912083047,125436.96777661,133327.248600166,145478.849119497,113501.040506114,126769.990896513,145458.140046312,106444.681014094,145416.72189994,145246.022755198,125336.975057711,113131.825200831,114528.78669732,149343.402416617,157126.679724447
"rel_merelbeke",38516.1703872974,39493.9208811931,34343.0613825419,28276.5772852759,23431.3233523213,39211.0968331667,39252.5156416766,39231.8062374217,44439.1695194627,49695.0439923679,50139.9879788501,50239.9806977491,26884.0186545162,19752.5492087829,28687.4799700483,12738.8042655092,14378.642596257,38545.458335701,19793.0979344327,14461.4871657342,10561.1514079753,11695.9833625737,241.404908446476,894.911221528416,49.9966905189212,341.398289484943,482.809816893775,2127.67205834334,6667.90935684747,8904.16856956582,19210.3169181449,23569.2057386215,14428.6684208757,29050.7996264219,15463.488123485,15604.8996508939,15746.3111783034,34703.1029221127,43555.7893015052,46890.4776253503,49209.5512802365,51794.2925569915,56550.2047596807,66230.0550155697,71553.9328238537,71367.5481855592,65905.8131522427,3043.29135984895,15604.8996508939,58386.477205474,78732.4676891181,91726.9006939654,115980.975787109,66931.47862223,70309.6727661203,77718.9668483075,82433.466201734,86706.571567152,90770.5054794951,91224.0276790552,21336.4822883972,25453.9599101108,26536.7247161211,26678.1362435308,26586.721075571,26890.2535346441,26840.2571751943,31437.6027485932,33677.4003723596,38800.4498076682,38821.1588808535,38879.73411552,38809.0283518153,38950.4398792247,39062.5637893007,38962.570408263,42665.0031047875,15875.592176674,26778.1289624294,26648.8492883359,2148.38311794529,4393.20763203654,1015.61533109828,42814.9921831357,26678.1362435308,38759.0316612964,15746.3111783034,6372.96404972495,8412.76829002928,6331.5449101457,38962.570408263,3193.28043819737,2893.30228150037,2614.03352905835,2410.495113161,14777.1398906937,14365.037161782,14073.636556025,13732.2395908171,131482.120288967,75878.8336447814,26648.8492883359,50139.9879788501,50331.3958657085,55449.4194038989,61213.8466096668,69078.1331618802,69219.5446892898,76803.0892389723,Inf,26628.1398840809,26728.1326029806,26698.8456477857,26840.2571751943,26698.8456477857,56216.7755567979,41238.45779876,49332.6142830161,108514.67374404,0,51309.1307993449,43068.5282827602,15280.6577875651,38326.2185349216,50239.9806977492,26719.5550520406,38871.1555713724,38304.0534272531,20162.2973483872,38850.4464981871,31247.6939352332,38809.0283518153,38638.3292070728,50139.9879788501,37934.8381219702,39331.7996184594,42735.7088684923,81929.6926455873
"rel_spiere",87918.3209907275,88896.0714846232,83745.2119859721,77678.7278887062,72833.4739557516,88613.2474365968,88654.6662451067,88633.9568408518,93841.3201228926,99097.194595798,99542.1385822802,99642.1313011793,76286.1692579466,69154.6998122133,78089.6305734785,62140.9548689397,63780.7931996874,87947.6089391311,69195.248537863,63863.6377691647,59963.3020114058,61593.0766294211,51467.6994150491,50514.2122967159,51288.4213950897,51191.9796678726,51050.5681404637,49398.6006049563,44699.7960150253,60130.4630761685,70436.6114247475,74795.5002452239,65654.9629274783,80277.0941330244,35845.64267586,35704.2311484511,35562.8196210416,85929.397428715,94782.0838081075,98116.7721319526,100435.845786839,103020.587063594,107776.499266283,117456.349522172,122780.227330456,122593.842692161,117132.107658845,48307.258248006,35704.2311484511,109612.771712076,129958.76219572,142953.195200568,167207.270293713,118157.773128832,121535.967272722,128945.261354909,133659.760708336,137932.866073755,141996.799986098,142450.322185658,29972.6485109478,25855.1708892342,24772.4060832247,24630.9945558151,24751.6970100388,24418.8772647015,24468.873624151,19930.102623279,17690.3049995129,12537.9682779404,12487.9719184915,12546.54582888,12617.2515925847,12475.8400651753,12305.1415825718,12346.560391082,8644.12769455746,35433.538622671,24589.5764094439,24660.2815110094,51550.5337213758,55619.5021386392,50912.708597946,8552.71318873675,24630.9945558151,12637.9609968397,35562.8196210416,55775.1146531554,57814.9188934597,55733.6955135762,12346.560391082,48115.8503611476,48415.8285178446,48736.5160787966,49015.7848312395,36531.9909086513,36944.093637563,37235.49424332,37576.8912085278,180884.270892398,125280.984248212,24660.2815110094,99542.1385822802,99733.5464691387,104851.570007329,110615.997213097,118480.283765311,118621.69529272,126205.239842403,Inf,24680.9909152646,24610.2854826292,24610.2851515599,24468.873624151,24610.2851515599,107443.0700634,90640.6084021901,98734.7648864465,157916.824347469,51309.1307993449,0,8240.60251658481,36087.0475843072,12982.9122644235,99642.1313011791,24589.5757473047,12467.2625142362,87706.2040306832,31146.8334509578,12517.2588736851,80649.8445386633,12617.2515925847,12729.3761647994,99542.13858228,87336.9887254003,88733.9502218893,8573.42193085266,131331.843249017
"rel_rone",79677.7184741429,80655.4689680385,75504.6094693875,69438.1253721216,64592.871439167,80372.6449200122,80414.0637285221,80393.3543242672,85600.717606308,90856.5920792134,91301.5360656956,91401.5287845947,68045.5667413619,60914.0972956286,69849.0280568939,53900.3523523549,55540.1906831027,79707.0064225465,60954.6460212784,55623.0352525799,51722.6994948211,53352.4741128364,43227.0968984644,42273.6097801311,43047.8188785049,42951.3771512878,42809.965623879,41157.9980883716,36459.1934984405,51889.8605595837,62196.0089081628,66554.8977286394,57414.3604108936,72036.4916164398,27605.0401592752,27463.6286318663,27322.2171044568,77688.7949121304,86541.4812915229,89876.169615368,92195.2432702542,94779.9845470092,99535.8967496982,109215.747005587,114539.624813871,114353.240175577,108891.50514226,40066.6557314212,27463.6286318663,101372.169195491,121718.159679135,134712.592683983,158966.667777128,109917.170612247,113295.364756138,120704.658838325,125419.158191751,129692.263557169,133756.197469513,134209.719669073,21732.0459943631,17614.5683726495,16531.8035666399,16390.3920392303,16511.094493454,16178.2747481167,16228.2711075663,11689.5001066942,9449.7024829281,4297.36576135556,4247.36940190668,4305.94331229519,4376.64907599991,4235.23754859047,4064.53906598698,4105.95787449715,403.525177972651,27192.9361060862,16348.9738928591,16419.6789944247,43309.931204791,47378.8996220545,42672.1060813613,312.110672151938,16390.3920392303,4397.35848025491,27322.2171044568,47534.5121365707,49574.316376875,47493.0929969914,4105.95787449715,39875.2478445628,40175.2260012598,40495.9135622118,40775.1823146547,28291.3883920665,28703.4911209782,28994.8917267352,29336.2886919431,172643.668375814,117040.381731627,16419.6789944247,91301.5360656956,91492.9439525541,96610.9674907446,102375.394696513,110239.681248726,110381.092776136,117964.637325818,Inf,16440.3883986799,16369.6829660444,16369.6826349751,16228.2711075663,16369.6826349751,99202.4675468155,82400.0058856055,90494.1623698619,149676.221830885,43068.5282827602,8240.60251658481,0,27846.4450677224,4742.30974783866,91401.5287845945,16348.97323072,4226.65999765141,79465.6015140986,22906.2309343731,4276.65635710029,72409.2420220787,4376.64907599991,4488.77364821462,91301.5360656954,79096.3862088157,80493.3477053048,332.819414267847,123091.240732433
"rel_asper",51889.847978948,52867.5984728437,47716.7389741925,41650.2548769265,36805.0009439718,52584.7744248173,52626.1932333272,52605.4838290723,57812.8471111133,63068.7215840185,63513.6655705007,63613.6582893997,40257.6962461668,33126.2268004334,42061.1575616989,26112.4818571598,27752.3201879076,51919.1359273515,33166.7755260832,27835.1647573848,23934.8289996259,25564.6036176413,15439.2264032693,14485.739284936,15259.9483833098,15163.5066560927,15022.0951286839,13370.1275931764,8671.32300324536,24101.9900643886,34408.1384129676,38767.0272334441,29626.4899156983,44248.6211212446,241.404908447217,382.816435856083,524.227963265608,49900.9244169354,58753.6107963279,62088.299120173,64407.3727750592,66992.1140518143,71748.0262545032,81427.8765103921,86751.7543186761,86565.3696803816,81103.6346470651,12278.7852362261,382.816435856083,73584.2987002965,93930.2891839405,106924.722188788,131178.797281931,82129.3001170525,85507.4942609427,92916.7883431299,97631.2876965565,101904.393061974,105968.326974318,106421.849173878,6114.39907335941,10231.876695073,11314.6415010834,11456.053028493,11364.6378605332,11668.1703196063,11618.1739601565,16215.5195335555,18455.3171573219,23578.3665926305,23599.0756658158,23657.6509004823,23586.9451367776,23728.356664187,23840.480574263,23740.4871932253,27442.9198897498,653.508961636188,11556.0457473917,11426.7660732981,15522.0607095959,19591.0291268593,14884.2355861662,27592.908968098,11456.053028493,23536.9484462587,524.227963265608,19746.6416413756,21786.4458816799,19705.2225017963,23740.4871932253,12087.3773493677,12387.3555060647,12708.0430670167,12987.3118194596,503.517896871342,915.620625783053,1207.02123154007,1548.41819674791,144855.797880619,89252.5112364322,11426.7660732981,63513.6655705007,63705.0734573591,68823.0969955495,74587.5242013176,82451.810753531,82593.2222809406,90176.766830623,Inf,11406.0566690432,11506.0493879428,11476.7624327479,11618.1739601565,11476.7624327479,71414.5970516205,54612.1353904107,62706.2918746668,121888.351335691,15280.6577875651,36087.0475843072,27846.4450677224,0,23104.1353198838,63613.6582893997,11497.4718370028,23649.0723563346,51677.7310189037,4940.2141333494,23628.3632831494,44621.3715268837,23586.9451367776,23416.2459920351,63513.6655705007,51308.5157136208,52705.4772101099,27513.6256534546,95303.3702372379
"rel_harbour_kerkhove",74935.4087263044,75913.1592202,70762.2997215489,64695.815624283,59850.5616913284,75630.3351721737,75671.7539806836,75651.0445764286,80858.4078584695,86114.2823313749,86559.2263178571,86659.2190367562,63303.2569935233,56171.78754779,65106.7183090555,49158.0426045163,50797.8809352641,74964.6966747079,56212.3362734398,50880.7255047413,46980.3897469824,48610.1643649978,38484.7871506257,37531.3000322925,38305.5091306663,38209.0674034492,38067.6558760404,36415.6883405329,31716.8837506019,47147.5508117451,57453.6991603242,61812.5879808008,52672.050663055,67294.1818686013,22862.7304114366,22721.3188840277,22579.9073566182,72946.4851642919,81799.1715436844,85133.8598675295,87452.9335224157,90037.6747991707,94793.5870018597,104473.437257749,109797.315066033,109610.930427738,104149.195394422,35324.3459835826,22721.3188840277,96629.859447653,116975.849931297,129970.282936144,154224.358029289,105174.860864409,108553.055008299,115962.349090486,120676.848443913,124949.953809331,129013.887721674,129467.409921234,16989.7362465245,12872.2586248108,11789.4938188013,11648.0822913917,11768.7847456154,11435.9650002781,11485.9613597276,6947.19035885561,4707.39273508947,474.231272746721,494.940345931979,553.515580598496,482.809816893775,624.221344303218,736.345254379196,636.351873341504,4338.784569866,22450.6263582476,11606.6641450205,11677.369246586,38567.6214569524,42636.5898742159,37929.7963335227,4488.77364821423,11648.0822913917,432.813126374888,22579.9073566182,42792.202388732,44832.0066290364,42750.7832491528,636.351873341504,35132.9380967242,35432.9162534212,35753.6038143732,36032.8725668161,23549.0786442279,23961.1813731396,24252.5819788966,24593.9789441045,167901.358627976,112298.071983789,11677.369246586,86559.2263178571,86750.6342047155,91868.6577429061,97633.0849486741,105497.371500888,105638.783028297,113222.32757798,Inf,11698.0786508412,11627.3732182058,11627.3728871365,11485.9613597276,11627.3728871365,94460.157798977,77657.6961377671,85751.8526220234,144933.912083047,38326.2185349216,12982.9122644235,4742.30974783866,23104.1353198838,0,86659.219036756,11606.6634828813,544.937036450866,74723.2917662601,18163.9211865345,524.227963265608,67666.9322742402,482.809816893775,312.11067215128,86559.2263178569,74354.0764609772,75751.0379574662,4409.49033357081,118348.930984594
"rel_fish_pass_leie",11753.0975967154,10746.0598165561,15896.9193152073,22046.2397052169,26808.657345428,11116.7457233739,11016.7523423362,11166.7424138929,5800.81117828649,544.936705381559,99.9927188996226,0,29396.9367021618,36774.8359602525,45609.7740026184,43571.4383774327,45328.4265153741,12177.3315168044,30505.4573358441,35819.9116783869,39678.8292897739,45264.8247214517,50481.3856061956,50822.7802539182,50189.9840072303,49898.5824082643,49757.1708808554,50243.5306962239,55000.9098586822,59144.149267315,69450.297615894,73809.1864363705,64668.6491186249,79290.7803241709,63796.4886253197,63937.9001527286,64079.3116801381,84943.0836198616,93795.769999254,97130.4583230992,99449.5319779853,102034.27325474,106790.185457429,116470.035713318,121793.913521602,121607.528883308,116145.793849991,51376.2918616837,63937.9001527286,108626.457903223,128972.448386867,141966.881391715,166220.95648486,117171.459319979,120549.653463869,127958.947546056,132673.446899483,136946.552264901,141010.486177244,141464.008376804,69669.4827902318,73786.9604119454,74869.7252179557,75011.1367453653,74919.7215774056,75223.2540364787,75173.2576770288,79770.6032504278,82010.4008741941,87133.4503095026,87154.1593826879,87212.7346173544,87142.0288536497,87283.4403810591,87395.5642911351,87295.5709100974,90998.0036066218,64208.5926785087,75111.129464264,74981.8497901704,48091.5975798039,54633.1883297858,49495.0568992223,91147.9926849701,75011.1367453653,87092.0321631308,64079.3116801381,44279.1183837272,43617.0308779438,44544.7866677362,87295.5709100974,51526.2809400321,51226.3027833351,50947.0340308931,50626.3464699407,63110.1403925284,62698.0376636167,62406.6370578597,62065.2400926519,148404.414321539,92801.1276773518,74981.8497901704,99.9927188996226,120.702454222967,5209.43870614973,10973.8659119177,18838.1524641309,18979.5639915404,26563.1085412226,Inf,74961.1403859155,75061.1331048151,75031.8461496203,75173.2576770288,75031.8461496203,106456.756254547,58160.7518313302,66254.9083155863,125436.96777661,50239.9806977492,99642.1313011791,91401.5287845945,63613.6582893997,86659.219036756,0,75052.5555538755,87204.156073207,11935.9272704961,68495.2978502221,87183.4470000217,18992.2867625161,87142.0288536499,86971.3297089074,99.9927188996226,12832.313728528,11266.7357949305,91068.7093703269,31689.7119478384
